feature,importance
macd_xbear,0.04990877
is_monday,0.04195222
gap_down,0.030069852
gap_size,0.029497288
rsi_14,0.026995635
consec_down,0.0268003
ret_5d,0.026487805
consec_up,0.025546297
is_tuesday,0.02491708
c_vs_ema50,0.024527766
macd_hist_chg,0.024031617
ret_2d,0.023541799
days_to_expiry,0.023394786
rsi_7,0.023392526
above_ema200,0.023134151
ret_1d,0.023083534
prev_range_pct,0.022194836
near_52w_high,0.022038642
ret_3d,0.021960936
vol_regime,0.021820456
ema9_21,0.021688128
vol_5d,0.021322384
prev_wick_dn,0.021268822
bb_pct_b,0.021141637
ret_20d,0.020861832
bb_width,0.020775348
atr_pct,0.020288061
c_vs_ema9,0.020218577
gap_pct,0.019937498
day_of_week,0.019472558
prev_oc_ret,0.019448625
macd_hist,0.019251475
gift_vs_prev,0.018878931
c_vs_ema21,0.018798266
prev_wick_up,0.018338297
close_strength,0.018085295
ret_10d,0.017449552
month,0.016843535
above_ema50,0.016757187
is_friday,0.016077343
macd_bull,0.015098608
gap_up,0.015088279
gift_bear,0.0140771065
bb_squeeze,0.013213318
prev_oc_bull,0.012282516
expiry_week,0.008040588
above_ema21,0.0
bb_upper_touch,0.0
macd_xbull,0.0
rsi_os,0.0
rsi_cross50,0.0
bb_lower_touch,0.0
vol_ratio,0.0
vol_surge,0.0
rsi_ob,0.0
prev_intra_close_strength,0.0
prev_intra_breakout,0.0
prev_intra_reversal,0.0
prev_intra_afternoon_ret,0.0
prev_intra_morning_ret,0.0
overbought_reversal_setup,0.0
oversold_bounce_setup,0.0
monday_after_3down,0.0
near_52w_low,0.0
prev_intra_intraday_range,0.0
prev_intra_morning_vol_ratio,0.0
prev_intra_day_oc_ret,0.0
vix_change,0.0
vix_pct_chg,0.0
vix_spike,0.0
india_vix,0.0
fii_trend,0.0
fii_5d_ma,0.0
fii_bear,0.0
fii_bull,0.0
fii_net,0.0
vix_above_avg,0.0
vix_extreme,0.0
vix_high,0.0
vix_calm,0.0
pcr_low,0.0
pcr,0.0
gift_bull,0.0
fii_3d_sum,0.0
pcr_high,0.0
month_end,0.0
month_start,0.0
